09:08:03 [restartedMain] INFO  AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@19fe73d: startup date [Mon Aug 05 09:08:03 CST 2019]; root of context hierarchy
09:08:04 [background-preinit] INFO  Version - HV000001: Hibernate Validator 5.3.6.Final
09:08:04 [restartedMain] INFO  AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
09:08:04 [restartedMain] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$752d2e9c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09:08:05 [restartedMain] INFO  OmsDlsbServiceRmApplication - No active profile set, falling back to default profiles: default
09:08:05 [restartedMain] INFO  AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1f4cb6a: startup date [Mon Aug 05 09:08:05 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@19fe73d
09:08:08 [restartedMain] INFO  DefaultListableBeanFactory - Overriding bean definition for bean 'feignLoggerLevel' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=dlsbOmsFeignConfiguration; factoryMethodName=feignLoggerLevel; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dc/dlsb/common/DlsbOmsFeignConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=dlsbRmFeignConfiguration; factoryMethodName=feignLoggerLevel; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dc/dlsb/common/DlsbRmFeignConfiguration.class]]
09:08:08 [restartedMain] INFO  DefaultListableBeanFactory - Overriding bean definition for bean 'dcBasicAuthRequestInterceptor' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=dlsbOmsFeignConfiguration; factoryMethodName=dcBasicAuthRequestInterceptor; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dc/dlsb/common/DlsbOmsFeignConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=dlsbRmFeignConfiguration; factoryMethodName=dcBasicAuthRequestInterceptor; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dc/dlsb/common/DlsbRmFeignConfiguration.class]]
09:08:08 [restartedMain] INFO  DefaultListableBeanFactory - Overriding bean definition for bean 'options' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=dlsbOmsFeignConfiguration; factoryMethodName=options; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dc/dlsb/common/DlsbOmsFeignConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=dlsbRmFeignConfiguration; factoryMethodName=options; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dc/dlsb/common/DlsbRmFeignConfiguration.class]]
09:08:08 [restartedMain] INFO  DefaultListableBeanFactory - Overriding bean definition for bean 'feignLoggerLevel' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=dlsbRmFeignConfiguration; factoryMethodName=feignLoggerLevel; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dc/dlsb/common/DlsbRmFeignConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=feignConfiguration; factoryMethodName=feignLoggerLevel; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dc/common/config/FeignConfiguration.class]]
09:08:08 [restartedMain] INFO  DefaultListableBeanFactory - Overriding bean definition for bean 'dcBasicAuthRequestInterceptor' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=dlsbRmFeignConfiguration; factoryMethodName=dcBasicAuthRequestInterceptor; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dc/dlsb/common/DlsbRmFeignConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=feignConfiguration; factoryMethodName=dcBasicAuthRequestInterceptor; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dc/common/config/FeignConfiguration.class]]
09:08:08 [restartedMain] INFO  DefaultListableBeanFactory - Overriding bean definition for bean 'options' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=dlsbRmFeignConfiguration; factoryMethodName=options; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dc/dlsb/common/DlsbRmFeignConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=feignConfiguration; factoryMethodName=options; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dc/common/config/FeignConfiguration.class]]
09:08:08 [restartedMain] INFO  DefaultListableBeanFactory - Overriding bean definition for bean 'BASE-SERVICE.FeignClientSpecification' with a different definition: replacing [Generic bean: class [org.springframework.cloud.netflix.feign.FeignClientSpecification]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Generic bean: class [org.springframework.cloud.netflix.feign.FeignClientSpecification]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
09:08:08 [restartedMain] INFO  DefaultListableBeanFactory - Overriding bean definition for bean 'BASE-SERVICE.FeignClientSpecification' with a different definition: replacing [Generic bean: class [org.springframework.cloud.netflix.feign.FeignClientSpecification]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Generic bean: class [org.springframework.cloud.netflix.feign.FeignClientSpecification]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
09:08:10 [restartedMain] INFO  GenericScope - BeanFactory id=d515c091-e8ce-3ae1-80a4-755cb8db2399
09:08:10 [restartedMain] INFO  AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
09:08:10 [restartedMain] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration' of type [com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
